GeneID	GOTerm	GOTermDescription	Description	Alias	EntrezID	Source
FBP1	GO:0005975	"""Carbohydrate metabolism"""	"Fructose-1,6-bisphosphatase"	"YLR377C|ACN8|fructose 1,6-bisphosphate 1-phosphatase"	20180922	UniProt
MDH2	GO:0005975	"""Carbohydrate metabolism"""	Cytoplasmic malate dehydrogenase	YOL126C|malate dehydrogenase MDH2	20180922	InterPro
EXG1	GO:0005975	"""Carbohydrate metabolism"""	"Major exo-1,3-beta-glucanase of the cell wall"	"YLR300W|BGL1|glucan 1,3-beta-glucosidase|SCW6"	20180922	InterPro
EXG1	GO:0005975	"""Carbohydrate metabolism"""	"Major exo-1,3-beta-glucanase of the cell wall"	"YLR300W|BGL1|glucan 1,3-beta-glucosidase|SCW6"	20180922	InterPro
SHB17	GO:0005975	"""Carbohydrate metabolism"""	Sedoheptulose bisphosphatase involved in riboneogenesis	YKR043C|sedoheptulose-bisphosphatase	20180922	UniProt
XKS1	GO:0005975	"""Carbohydrate metabolism"""	Xylulokinase	YGR194C|xylulokinase	20180922	UniProt
EXG2	GO:0005975	"""Carbohydrate metabolism"""	"Exo-1,3-beta-glucanase"	"YDR261C|glucan exo-1,3-beta-glucosidase"	20180922	InterPro
EXG2	GO:0005975	"""Carbohydrate metabolism"""	"Exo-1,3-beta-glucanase"	"YDR261C|glucan exo-1,3-beta-glucosidase"	20180922	InterPro
MIG2	GO:0005975	"""Carbohydrate metabolism"""	Zinc finger transcriptional repressor	YGL209W|MLZ1	20180922	UniProt
PKP2	GO:0005975	"""Carbohydrate metabolism"""	Mitochondrial protein kinase	YGL059W|protein kinase PKP2	20180922	UniProt
SCW11	GO:0005975	"""Carbohydrate metabolism"""	Cell wall protein with similarity to glucanases	"YGL028C|putative glucan endo-1,3-beta-D-glucosidase"	20180922	InterPro
MAL12	GO:0005975	"""Carbohydrate metabolism"""	Maltase (alpha-D-glucosidase)	YGR292W|MALS|alpha-glucosidase MAL12	20180922	InterPro
YNR071C	GO:0005975	"""Carbohydrate metabolism"""	Putative aldose 1-epimerase	YNR071C|aldose 1-epimerase superfamily protein	20180922	InterPro
YNR071C	GO:0005975	"""Carbohydrate metabolism"""	Putative aldose 1-epimerase	YNR071C|aldose 1-epimerase superfamily protein	20180922	InterPro
YNR071C	GO:0005975	"""Carbohydrate metabolism"""	Putative aldose 1-epimerase	YNR071C|aldose 1-epimerase superfamily protein	20180922	UniProt
SNF1	GO:0005975	"""Carbohydrate metabolism"""	AMP-activated S/T protein kinase	YDR477W|CAT1|CCR1|GLC2|HAF3|PAS14|AMP-activated serine/threonine-protein kinase catalytic subunit SNF1	20180922	UniProt
SOL4	GO:0005975	"""Carbohydrate metabolism"""	6-phosphogluconolactonase	YGR248W|6-phosphogluconolactonase SOL4	20180922	InterPro
SOL4	GO:0005975	"""Carbohydrate metabolism"""	6-phosphogluconolactonase	YGR248W|6-phosphogluconolactonase SOL4	20180922	InterPro
PCL7	GO:0005975	"""Carbohydrate metabolism"""	Pho85p cyclin of the Pho80p subfamily	YIL050W	20180922	UniProt
MAL32	GO:0005975	"""Carbohydrate metabolism"""	Maltase (alpha-D-glucosidase)	YBR299W|MAL3S|MALS|alpha-glucosidase MAL32	20180922	InterPro
PMI40	GO:0005975	"""Carbohydrate metabolism"""	Mannose-6-phosphate isomerase	YER003C|PMI|mannose-6-phosphate isomerase PMI40	20180922	InterPro
PGM1	GO:0005975	"""Carbohydrate metabolism"""	"Phosphoglucomutase, minor isoform"	YKL127W|phosphoglucomutase PGM1	20180922	UniProt
PGM1	GO:0005975	"""Carbohydrate metabolism"""	"Phosphoglucomutase, minor isoform"	YKL127W|phosphoglucomutase PGM1	20180922	InterPro
PGM1	GO:0005975	"""Carbohydrate metabolism"""	"Phosphoglucomutase, minor isoform"	YKL127W|phosphoglucomutase PGM1	20180922	InterPro
PGM1	GO:0005975	"""Carbohydrate metabolism"""	"Phosphoglucomutase, minor isoform"	YKL127W|phosphoglucomutase PGM1	20180922	InterPro
PGM1	GO:0005975	"""Carbohydrate metabolism"""	"Phosphoglucomutase, minor isoform"	YKL127W|phosphoglucomutase PGM1	20180922	InterPro
PGM1	GO:0005975	"""Carbohydrate metabolism"""	"Phosphoglucomutase, minor isoform"	YKL127W|phosphoglucomutase PGM1	20180922	InterPro
YHR210C	GO:0005975	"""Carbohydrate metabolism"""	Putative aldose 1-epimerase superfamily protein	YHR210C|aldose 1-epimerase superfamily protein	20180922	InterPro
YHR210C	GO:0005975	"""Carbohydrate metabolism"""	Putative aldose 1-epimerase superfamily protein	YHR210C|aldose 1-epimerase superfamily protein	20180922	InterPro
YHR210C	GO:0005975	"""Carbohydrate metabolism"""	Putative aldose 1-epimerase superfamily protein	YHR210C|aldose 1-epimerase superfamily protein	20180922	UniProt
YDR248C	GO:0005975	"""Carbohydrate metabolism"""	Putative gluconokinase	YDR248C|gluconokinase	20180922	InterPro
PGU1	GO:0005975	"""Carbohydrate metabolism"""	Endo-polygalacturonase	YJR153W|PGL1|PSM1	20180922	InterPro
PCM1	GO:0005975	"""Carbohydrate metabolism"""	Essential N-acetylglucosamine-phosphate mutase	YEL058W|AGM1|phosphoacetylglucosamine mutase PCM1	20180922	InterPro
PCM1	GO:0005975	"""Carbohydrate metabolism"""	Essential N-acetylglucosamine-phosphate mutase	YEL058W|AGM1|phosphoacetylglucosamine mutase PCM1	20180922	InterPro
PCM1	GO:0005975	"""Carbohydrate metabolism"""	Essential N-acetylglucosamine-phosphate mutase	YEL058W|AGM1|phosphoacetylglucosamine mutase PCM1	20180922	UniProt
GAL3	GO:0005975	"""Carbohydrate metabolism"""	Transcriptional regulator	YDR009W|transcriptional regulator GAL3	20180922	UniProt
FBA1	GO:0005975	"""Carbohydrate metabolism"""	"Fructose 1,6-bisphosphate aldolase"	YKL060C|LOT1|fructose-bisphosphate aldolase FBA1	20180922	InterPro
ROT2	GO:0005975	"""Carbohydrate metabolism"""	Glucosidase II catalytic subunit	"YBR229C|GLS2|glucan 1,3-alpha-glucosidase ROT2"	20180922	InterPro
ROT2	GO:0005975	"""Carbohydrate metabolism"""	Glucosidase II catalytic subunit	"YBR229C|GLS2|glucan 1,3-alpha-glucosidase ROT2"	20180922	InterPro
GUT1	GO:0005975	"""Carbohydrate metabolism"""	Glycerol kinase	YHL032C|glycerol kinase	20180922	InterPro
GUT1	GO:0005975	"""Carbohydrate metabolism"""	Glycerol kinase	YHL032C|glycerol kinase	20180922	InterPro
GUT1	GO:0005975	"""Carbohydrate metabolism"""	Glycerol kinase	YHL032C|glycerol kinase	20180922	InterPro
MPA43	GO:0005975	"""Carbohydrate metabolism"""	Protein of unknown function	YNL249C	20180922	InterPro
MPA43	GO:0005975	"""Carbohydrate metabolism"""	Protein of unknown function	YNL249C	20180922	InterPro
SUN4	GO:0005975	"""Carbohydrate metabolism"""	Cell wall protein related to glucanases	YNL066W|SCW3|putative glucosidase SUN4	20180922	UniProt
PRM15	GO:0005975	"""Carbohydrate metabolism"""	Phosphoribomutase	YMR278W|PGM3|phosphoribomutase PRM15	20180922	UniProt
PRM15	GO:0005975	"""Carbohydrate metabolism"""	Phosphoribomutase	YMR278W|PGM3|phosphoribomutase PRM15	20180922	InterPro
PRM15	GO:0005975	"""Carbohydrate metabolism"""	Phosphoribomutase	YMR278W|PGM3|phosphoribomutase PRM15	20180922	InterPro
PRM15	GO:0005975	"""Carbohydrate metabolism"""	Phosphoribomutase	YMR278W|PGM3|phosphoribomutase PRM15	20180922	InterPro
PRM15	GO:0005975	"""Carbohydrate metabolism"""	Phosphoribomutase	YMR278W|PGM3|phosphoribomutase PRM15	20180922	InterPro
CDA1	GO:0005975	"""Carbohydrate metabolism"""	Chitin deacetylase	YLR307W|chitin deacetylase CDA1	20180922	InterPro
CDA1	GO:0005975	"""Carbohydrate metabolism"""	Chitin deacetylase	YLR307W|chitin deacetylase CDA1	20180922	InterPro
IMA1	GO:0005975	"""Carbohydrate metabolism"""	"Major isomaltase (alpha-1,6-glucosidase/alpha-methylglucosidase)"	"YGR287C|oligo-1,6-glucosidase IMA1"	20180922	InterPro
FBP1	GO:0005975	"""Carbohydrate metabolism"""	"Fructose-1,6-bisphosphatase"	"YLR377C|ACN8|fructose 1,6-bisphosphate 1-phosphatase"	20180922	InterPro
FBP1	GO:0005975	"""Carbohydrate metabolism"""	"Fructose-1,6-bisphosphatase"	"YLR377C|ACN8|fructose 1,6-bisphosphate 1-phosphatase"	20180922	InterPro
GRR1	GO:0005975	"""Carbohydrate metabolism"""	F-box protein component of an SCF ubiquitin-ligase complex	YJR090C|CAT80|COT2|SSU2|SDC1|SCF ubiquitin ligase complex subunit GRR1	20180922	UniProt
UTH1	GO:0005975	"""Carbohydrate metabolism"""	Mitochondrial inner membrane protein	YKR042W|SUN family protein UTH1	20180922	UniProt
EGH1	GO:0005975	"""Carbohydrate metabolism"""	Steryl-beta-glucosidase with broad specificity for aglycones	YIR007W|hydrolase	20180922	InterPro
EGH1	GO:0005975	"""Carbohydrate metabolism"""	Steryl-beta-glucosidase with broad specificity for aglycones	YIR007W|hydrolase	20180922	InterPro
