ESTID	GeneID	GOTerm	Description	GOTermDescription
YGL156W	AMS1	GO:0005975	Vacuolar alpha mannosidase	Carbohydrate metabolism
YGL209W	MIG2	GO:0005975	Zinc finger transcriptional repressor	Carbohydrate metabolism
YGL253W	HXK2	GO:0005975	Hexokinase isoenzyme 2	Carbohydrate metabolism
YGR043C	NQM1	GO:0005975	Transaldolase of unknown function	Carbohydrate metabolism
YGR143W	SKN1	GO:0005975	Protein involved in sphingolipid biosynthesis	Carbohydrate metabolism
YGR189C	CRH1	GO:0005975	Chitin transglycosylase	Carbohydrate metabolism
YGR194C	XKS1	GO:0005975	Xylulokinase	Carbohydrate metabolism
YGR248W	SOL4	GO:0005975	6-phosphogluconolactonase	Carbohydrate metabolism
YGR279C	SCW4	GO:0005975	Cell wall protein with similarity to glucanases	Carbohydrate metabolism
YGR282C	BGL2	GO:0005975	"Endo-beta-1,3-glucanase"	Carbohydrate metabolism
YGR287C	IMA1	GO:0005975	"Major isomaltase (alpha-1,6-glucosidase/alpha-methylglucosidase)"	Carbohydrate metabolism
YHL032C	GUT1	GO:0005975	Glycerol kinase	Carbohydrate metabolism
YHR163W	SOL3	GO:0005975	6-phosphogluconolactonase	Carbohydrate metabolism
YHR210C	YHR210C	GO:0005975	Putative aldose 1-epimerase superfamily protein	Carbohydrate metabolism
YIL042C	PKP1	GO:0005975	Mitochondrial protein kinase	Carbohydrate metabolism
YIL050W	PCL7	GO:0005975	Pho85p cyclin of the Pho80p subfamily	Carbohydrate metabolism
YIL099W	SGA1	GO:0005975	Intracellular sporulation-specific glucoamylase	Carbohydrate metabolism
YIL123W	SIM1	GO:0005975	"Protein of the SUN family (Sim1p, Uth1p, Nca3p, Sun4p)"	Carbohydrate metabolism
YIL162W	SUC2	GO:0005975	Invertase	Carbohydrate metabolism
YIR007W	EGH1	GO:0005975	Steryl-beta-glucosidase with broad specificity for aglycones	Carbohydrate metabolism
YJL121C	RPE1	GO:0005975	D-ribulose-5-phosphate 3-epimerase	Carbohydrate metabolism
YJL216C	IMA5	GO:0005975	Alpha-glucosidase	Carbohydrate metabolism
YJL221C	IMA4	GO:0005975	Alpha-glucosidase	Carbohydrate metabolism
YJR090C	GRR1	GO:0005975	F-box protein component of an SCF ubiquitin-ligase complex	Carbohydrate metabolism
YJR153W	PGU1	GO:0005975	Endo-polygalacturonase	Carbohydrate metabolism
YKL060C	FBA1	GO:0005975	"Fructose 1,6-bisphosphate aldolase"	Carbohydrate metabolism
YKL085W	MDH1	GO:0005975	Mitochondrial malate dehydrogenase	Carbohydrate metabolism
YKL127W	PGM1	GO:0005975	"Phosphoglucomutase, minor isoform"	Carbohydrate metabolism
YKR042W	UTH1	GO:0005975	Mitochondrial inner membrane protein	Carbohydrate metabolism
YKR043C	SHB17	GO:0005975	Sedoheptulose bisphosphatase involved in riboneogenesis	Carbohydrate metabolism
YLR070C	XYL2	GO:0005975	Xylitol dehydrogenase	Carbohydrate metabolism
YLR189C	ATG26	GO:0005975	UDP-glucose:sterol glucosyltransferase	Carbohydrate metabolism
YLR213C	CRR1	GO:0005975	Putative glycoside hydrolase of the spore wall envelope	Carbohydrate metabolism
YLR286C	CTS1	GO:0005975	Endochitinase	Carbohydrate metabolism
YLR300W	EXG1	GO:0005975	"Major exo-1,3-beta-glucanase of the cell wall"	Carbohydrate metabolism
YLR307W	CDA1	GO:0005975	Chitin deacetylase	Carbohydrate metabolism
